matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
126,T3,home,30,win,69,350,9,6,3,79,16,6,24,937,8,9,2,10,63,6,11,0,2,0,1,3,0,0,14,2,105,3,1,-3,-30,-4,-1,4,259,4,3,0,-3,-6,-3,-4,-6,2,-3,1,0,0,-1
127,T4,away,22,loss,85,407,18,7,11,93,9,3,23,1014,3,1,2,10,165,27,16,2,0,1,1,4,0,1,-5,-43,149,-9,6,8,-78,1,-1,0,-135,-2,-5,-1,-9,63,9,3,1,0,-3,1,0,0,1
128,T5,home,28,win,104,389,18,7,8,124,5,9,29,788,3,4,0,12,167,17,11,1,1,2,1,3,0,0,17,-23,28,1,4,-2,-56,-8,3,15,247,1,-2,0,1,34,-1,-2,0,1,-2,1,1,0,-1
129,T3,home,5,loss,86,169,7,0,3,92,15,7,38,1395,7,0,1,9,62,12,7,2,0,3,1,2,0,1,-16,31,-9,-5,-2,1,55,3,2,-2,-47,-2,-3,-3,-2,-76,5,-4,-1,-1,0,0,2,0,0
130,T10,away,21,loss,88,330,23,5,42,107,17,8,19,863,5,5,4,15,131,23,9,0,0,2,0,3,0,2,-12,-61,-188,0,-4,-19,-76,1,1,-7,-137,-3,2,4,5,59,0,-4,-4,0,-2,-1,0,0,1
131,T5,away,7,loss,123,276,22,3,9,140,12,5,23,491,9,2,1,9,132,18,11,1,0,3,0,6,0,1,-19,0,-71,4,0,4,-12,-1,1,6,-135,2,-3,-2,-3,-20,-4,2,-1,0,1,-1,2,0,1
132,T11,away,10,loss,127,359,18,1,10,164,15,6,23,945,3,9,2,13,149,16,8,1,2,2,1,0,0,0,-25,3,-39,2,-4,-3,-8,5,-1,-8,-10,-7,5,2,-2,9,-2,-3,-1,2,-1,0,-2,0,0
133,T8,away,36,win,144,407,28,7,14,207,14,6,18,569,14,4,1,20,85,9,7,0,0,1,0,1,0,0,33,64,189,19,5,5,109,-1,0,-2,37,12,0,1,10,-60,-19,-12,-7,-1,-3,-2,-2,0,-2
134,T13,home,19,win,86,364,25,7,12,122,10,10,34,1077,8,7,3,9,134,21,8,1,0,3,0,2,0,1,2,-24,-20,4,2,0,19,-11,6,6,137,1,-2,1,-6,47,-4,0,-1,0,1,-1,2,0,1
135,T14,home,34,win,114,257,17,1,9,103,13,3,26,979,4,5,1,12,106,24,11,1,0,2,0,2,0,0,16,-3,-164,-7,-5,-13,-33,2,-2,14,454,-1,-6,-3,-3,-14,7,-1,0,-2,-1,0,1,0,-1
136,T14,away,10,loss,77,239,10,0,6,118,16,8,28,941,3,2,1,14,119,16,14,5,0,3,1,3,0,0,-8,-19,75,-6,-2,2,22,10,3,3,-264,-6,-9,-3,4,47,6,3,4,-1,0,1,1,0,0
137,T6,away,38,win,129,404,25,9,6,159,7,5,30,1145,10,7,0,8,150,5,16,1,2,3,0,2,0,1,11,6,41,20,2,-1,23,-11,-3,6,-26,7,1,-4,-7,1,-20,8,1,1,1,-1,-1,0,-2
138,T12,home,46,win,145,393,9,4,15,156,12,5,15,674,4,10,1,14,45,12,13,2,2,4,0,1,0,0,17,90,177,-3,1,9,79,0,-3,-4,-26,4,5,0,3,-99,3,-1,-1,1,-1,-1,0,-1,0
139,T14,away,25,loss,179,384,22,2,21,238,12,6,26,862,3,5,0,12,103,28,10,1,0,2,1,2,0,1,-10,85,65,-6,-5,18,107,1,1,-1,-238,-3,4,-2,0,-103,6,1,0,0,2,0,0,0,0
140,T13,home,20,win,80,272,25,4,8,118,11,4,22,869,6,1,3,13,86,11,12,1,2,4,0,3,0,0,7,2,85,14,3,-3,28,-1,-2,-5,34,1,-4,1,-4,-1,-14,-6,-4,-1,3,-1,2,0,-2
