matchid,team,match_location,final_points_i,outcome,carries_i,metres_made_i,defenders_beaten_i,clean_breaks_i,offloads_i,passes_i,turnovers_conceded_i,turnovers_won_i,kicks_from_hand_i,kick_metres_i,scrums_won_i,rucks_won_i,lineout_throws_lost_i,lineout_throws_won_i,tackles_i,missed_tackles_i,penalties_conceded_i,scrum_pens_conceded_i,lineout_pens_conceded_i,general_play_pens_conceded_i,free_kicks_conceded_i,ruck_maul_tackle_pen_con_i,red_cards_i,yellow_cards_i,final_points_r,carries_r,metres_made_r,defenders_beaten_r,clean_breaks_r,offloads_r,passes_r,turnovers_conceded_r,turnovers_won_r,kicks_from_hand_r,kick_metres_r,scrums_won_r,rucks_won_r,lineout_throws_lost_r,lineout_throws_won_r,tackles_r,missed_tackles_r,penalties_conceded_r,scrum_pens_conceded_r,lineout_pens_conceded_r,general_play_pens_conceded_r,free_kicks_conceded_r,ruck_maul_tackle_pen_con_r,red_cards_r,yellow_cards_r
268214,Cardiff Rugby,home,6,loss,90,281,8,1,13,128,13,9,18,740,8,8,3,12,114,11,14,6,0,0,1,2,0,1,-16,-3,-49,-3,-2,6,-8,0,2,-3,-179,0,3,2,-3,7,3,2,3,0,-1,0,0,0,1
268159,Emirates Lions,away,13,loss,111,409,23,4,6,116,18,10,22,1037,5,4,1,14,144,17,9,2,0,2,1,4,0,0,-8,-30,-65,6,-2,-13,-104,2,2,-1,-19,0,-3,0,-2,17,-6,-4,-1,-1,1,1,1,0,0
268159,Leinster Rugby,home,21,win,141,474,17,6,19,220,16,8,23,1056,5,7,1,16,127,23,13,3,1,1,0,3,0,0,8,30,65,-6,2,13,104,-2,-2,1,19,0,3,0,2,-17,6,4,1,1,-1,-1,-1,0,0
268163,DHL Stormers,away,17,loss,71,270,6,2,1,90,14,7,27,762,7,1,3,8,189,20,10,4,0,3,2,3,0,2,-2,-81,-136,-14,-3,-12,-109,2,4,8,-53,0,-6,0,-4,95,14,6,2,0,3,2,3,0,2
268163,Connacht Rugby,home,19,win,152,406,20,5,13,199,12,3,19,815,7,7,3,12,94,6,4,2,0,0,0,0,0,0,2,81,136,14,3,12,109,-2,-4,-8,53,0,6,0,4,-95,-14,-6,-2,0,-3,-2,-3,0,-2
268213,Ulster Rugby,home,17,loss,121,321,14,2,10,201,8,4,22,965,4,10,3,16,112,8,13,1,1,2,0,1,0,0,-7,22,23,6,0,3,68,0,-2,-7,-35,0,3,1,5,-17,-6,0,-1,0,-1,0,-1,0,-1
268213,Munster Rugby,away,24,win,99,298,8,2,7,133,8,6,29,1000,4,7,2,11,129,14,13,2,1,3,0,2,0,1,7,-22,-23,-6,0,-3,-68,0,2,7,35,0,-3,-1,-5,17,6,0,1,0,1,0,1,0,1
268153,Cardiff Rugby,away,19,win,93,342,10,4,5,116,6,10,24,765,4,4,1,8,103,16,14,4,0,2,1,0,1,0,1,5,102,-6,2,-1,4,-8,4,5,-134,-2,-2,0,-8,18,6,3,3,0,-1,1,-2,0,0
268153,Dragons RFC,home,18,loss,88,240,16,2,6,112,14,6,19,899,6,6,1,16,85,10,11,1,0,3,0,2,1,0,-1,-5,-102,6,-2,1,-4,8,-4,-5,134,2,2,0,8,-18,-6,-3,-3,0,1,-1,2,0,0
268208,Emirates Lions,home,15,win,87,244,9,4,10,98,9,8,33,1508,5,3,1,9,105,14,7,0,0,1,0,3,0,0,6,-13,-174,-5,2,-1,-37,-4,5,7,492,-1,-6,-1,-6,12,5,1,0,-1,0,0,3,0,-1
